"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2026","325.13","316.98","327.22","314.76","50.84M","2.61%"
"08/31/2026","316.85","319.60","321.23","312.80","41.24M","-0.89%"
"08/28/2026","319.70","316.85","322.37","315.45","38.65M","1.63%"
"08/27/2026","314.58","310.55","315.40","309.40","32.42M","0.36%"
"08/26/2026","313.45","310.30","315.43","308.80","34.02M","1.15%"
"08/25/2026","309.90","310.79","313.59","308.21","25.87M","-0.14%"
"08/24/2026","310.34","311.47","313.36","309.97","34.67M","0.32%"
"08/21/2026","309.35","312.05","312.38","307.01","46.88M","-0.63%"
"08/20/2026","311.30","317.45","320.28","310.65","40.96M","-1.75%"
"08/19/2026","316.83","310.14","319.28","309.60","50.51M","2.19%"
"08/18/2026","310.03","307.58","311.49","305.74","53.42M","1.45%"
"08/17/2026","305.59","306.21","307.66","302.94","38.17M","-0.11%"
"08/14/2026","305.93","306.00","307.49","304.30","28.23M","0.22%"
"08/13/2026","305.26","304.21","306.00","302.05","40.35M","1.00%"
"08/12/2026","302.25","305.10","305.66","300.57","41.66M","-0.87%"
"08/11/2026","304.91","307.75","309.97","302.79","37.48M","-1.09%"
"08/10/2026","308.26","306.83","308.26","304.61","44.81M","-1.62%"
"08/07/2026","313.33","311.45","314.81","310.74","34.44M","0.29%"
"08/06/2026","312.41","314.34","316.29","309.23","46.14M","0.45%"
"08/05/2026","311.00","309.36","311.71","305.67","49.44M","0.52%"
"08/04/2026","309.38","302.73","310.42","301.32","68.00M","1.96%"
"08/03/2026","303.42","309.58","311.80","302.56","75.05M","-1.78%"
"07/31/2026","308.91","304.81","310.69","300.00","132.49M","-7.35%"
"07/30/2026","333.43","333.10","334.75","329.59","74.82M","-1.41%"
"07/29/2026","338.19","339.73","344.57","337.35","56.09M","-0.56%"
"07/28/2026","340.08","340.03","342.89","335.60","51.86M","0.94%"
"07/27/2026","336.91","334.54","339.57","334.02","49.60M","1.17%"
"07/24/2026","333.02","321.79","334.37","321.62","47.49M","3.53%"
"07/23/2026","321.66","321.73","323.30","319.35","40.84M","-1.30%"
"07/22/2026","325.89","327.87","329.00","323.34","38.76M","-0.56%"
"07/21/2026","327.74","323.13","329.60","322.22","41.34M","0.35%"
"07/20/2026","326.59","333.51","333.71","323.68","53.47M","-2.14%"
"07/17/2026","333.74","331.98","334.99","329.00","63.41M","0.14%"
"07/16/2026","333.26","328.01","334.68","326.79","62.97M","1.76%"
"07/15/2026","327.50","317.61","328.73","317.32","60.96M","4.01%"
"07/14/2026","314.86","313.76","316.19","311.91","36.34M","-0.77%"
"07/13/2026","317.31","317.02","323.45","315.78","43.26M","0.63%"
"07/10/2026","315.32","314.72","316.91","312.17","34.13M","-0.28%"
"07/09/2026","316.22","310.51","316.53","308.16","48.12M","0.90%"
"07/08/2026","313.39","311.91","314.82","307.05","41.32M","0.88%"
"07/07/2026","310.66","315.29","315.48","310.15","42.49M","-0.64%"
"07/06/2026","312.66","307.36","314.20","307.00","53.59M","1.31%"
"07/02/2026","308.63","294.12","309.42","293.68","75.40M","4.84%"
"07/01/2026","294.38","293.44","296.59","289.20","50.16M","1.73%"
"06/30/2026","289.36","281.17","289.94","280.70","65.10M","2.70%"
"06/29/2026","281.74","286.73","288.37","279.85","66.43M","-0.72%"
"06/26/2026","283.78","275.00","285.95","274.21","261.78M","3.14%"
"06/25/2026","275.15","287.40","288.80","273.75","107.25M","-6.12%"
"06/24/2026","293.08","295.36","299.70","292.94","53.08M","-0.41%"
"06/23/2026","294.30","297.54","301.64","294.18","52.01M","-0.91%"
"06/22/2026","297.01","297.31","302.42","296.76","44.88M","-0.34%"
"06/18/2026","298.01","298.11","300.57","295.62","85.96M","0.70%"
"06/17/2026","295.95","300.85","302.07","294.36","42.75M","-1.10%"
"06/16/2026","299.24","295.24","300.48","293.97","39.87M","0.95%"
"06/15/2026","296.42","294.12","297.78","291.70","45.73M","1.82%"
"06/12/2026","291.13","296.03","297.14","289.62","38.78M","-1.52%"
"06/11/2026","295.63","293.72","297.00","289.59","42.57M","1.39%"
"06/10/2026","291.58","290.74","294.75","287.38","52.79M","0.35%"
"06/09/2026","290.55","300.27","300.75","287.78","70.11M","-3.64%"
"06/08/2026","301.54","308.74","317.40","301.17","77.95M","-1.89%"
"06/05/2026","307.34","312.86","315.17","307.15","65.31M","-1.25%"
"06/04/2026","311.23","313.23","313.54","309.65","44.87M","0.31%"
"06/03/2026","310.26","314.17","316.94","308.85","50.84M","-1.57%"
"06/02/2026","315.20","307.46","315.45","306.68","44.53M","2.90%"
"06/01/2026","306.31","309.63","310.94","305.02","48.85M","-1.84%"
"05/29/2026","312.06","311.77","315.00","309.53","70.03M","-0.14%"
"05/28/2026","312.51","310.68","312.80","309.57","48.22M","0.53%"
"05/27/2026","310.85","308.33","313.26","308.30","50.43M","0.82%"
"05/26/2026","308.33","309.56","311.82","307.67","48.00M","-0.16%"
"05/22/2026","308.82","306.12","311.40","305.84","43.67M","1.26%"
"05/21/2026","304.99","301.05","305.54","300.40","42.97M","0.91%"
"05/20/2026","302.25","298.18","302.80","298.08","38.23M","1.10%"
"05/19/2026","298.97","296.97","300.51","296.35","42.24M","0.38%"
"05/18/2026","297.84","300.24","300.66","294.91","34.48M","-0.80%"
"05/15/2026","300.23","297.90","303.20","296.52","54.86M","0.68%"
"05/14/2026","298.21","299.82","300.45","295.38","35.32M","-0.22%"
"05/13/2026","298.87","293.50","300.92","293.50","52.68M","1.38%"
"05/12/2026","294.80","292.56","295.27","292.56","45.75M","0.72%"
"05/11/2026","292.68","291.98","293.88","290.23","42.25M","-0.22%"
"05/08/2026","293.32","290.01","294.76","290.00","52.69M","2.05%"
"05/07/2026","287.44","289.27","292.13","285.78","45.22M","-0.02%"
"05/06/2026","287.51","281.92","288.03","281.07","58.34M","1.17%"
"05/05/2026","284.18","276.92","284.57","276.50","49.31M","2.66%"
"05/04/2026","276.83","279.65","280.63","274.86","46.67M","-1.18%"
"05/01/2026","280.14","278.86","287.22","278.37","79.92M","3.24%"
"04/30/2026","271.35","270.50","276.00","268.14","91.85M","0.44%"
"04/29/2026","270.17","267.55","271.04","267.04","30.05M","-0.20%"
"04/28/2026","270.71","272.33","273.23","268.66","40.02M","1.16%"
"04/27/2026","267.61","266.09","268.36","265.07","41.47M","-1.27%"
"04/24/2026","271.06","272.76","273.06","269.65","38.16M","-0.87%"
"04/23/2026","273.43","275.05","275.77","271.65","33.40M","0.10%"
"04/22/2026","273.17","267.82","273.74","266.87","43.25M","2.63%"
"04/21/2026","266.17","271.50","272.80","265.40","50.21M","-2.52%"
"04/20/2026","273.05","270.33","274.27","270.29","36.59M","1.04%"
"04/17/2026","270.23","266.96","272.30","266.72","61.44M","2.59%"
"04/16/2026","263.40","266.80","267.16","261.27","43.32M","-1.14%"
"04/15/2026","266.43","258.16","266.56","257.81","49.91M","2.94%"
"04/14/2026","258.83","259.24","261.93","257.19","48.37M","-0.14%"
"04/13/2026","259.20","259.73","260.18","256.66","36.23M","-0.49%"
"04/10/2026","260.48","259.98","262.19","259.02","31.29M","0.00%"
